LongerDesign-lesstriangles2-rearleft
10m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0       -1.378      0.32772     0.062057      0.26566    -0.091325      0.70342     -0.29551      0.99893     -0.50931     -0.10097    -0.036266    -0.064701      -4.2047      -4.9358           -1       1340.9      -460.95      -6955.1       1340.9      -460.95      -6955.1            0            0            0       9.7286      -1.5315           10      -13.378       1285.3       745.58       254.81      0.91233     -0.24954     0.039773            0      -4417.1      0.26169      0.92142      -1.2572            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.3364      0.30621     0.056366      0.24984      -0.0857      0.73641     -0.26841       1.0048       -0.499    -0.094136    -0.033377    -0.060758      -4.3643      -5.0453           -1         1261      -432.56      -6745.2         1261      -432.56      -6745.2            0            0            0       9.7474      -1.4983           10      -12.905       1259.3       780.54       237.57      0.91297      -0.2494     0.038422            0      -4321.2      0.24658      0.92154      -1.2201            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0      -1.2941      0.28475     0.050418      0.23433    -0.080236      0.76792     -0.24009        1.008     -0.48809    -0.086986    -0.030108    -0.056878      -4.5448      -5.1701           -1       1182.7      -404.97      -6531.8       1182.7      -404.97      -6531.8            0            0            0       9.7664      -1.4621           10      -12.409       1231.8       813.95       219.52      0.91355     -0.24926     0.037042            0      -4216.9      0.23172      0.92136      -1.1822            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0      -1.2511      0.26199     0.042816      0.21917    -0.074929      0.80441     -0.20389       1.0083     -0.47656    -0.078532    -0.025443    -0.053089      -4.7755      -5.3416           -1       1106.2      -378.19      -6314.8       1106.2      -378.19      -6314.8            0            0            0       9.7877      -1.4152           10      -11.827       1202.7       852.62       198.19      0.91409     -0.24912     0.035635            0      -4081.5       0.2172      0.92071      -1.1436            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.2075       0.2387     0.034345      0.20436    -0.069792       0.8422     -0.16355       1.0057     -0.46442      -0.0693     -0.01993     -0.04937      -5.0584      -5.5584           -1       1031.5      -352.26      -6094.4       1031.5      -352.26      -6094.4            0            0            0       9.8101        -1.36           10      -11.183         1172       892.68       174.89      0.91458       -0.249     0.034199            0      -3922.4      0.20299      0.91971      -1.1043            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.1631      0.21788     0.027941      0.18994    -0.064823      0.86716     -0.13305       1.0002     -0.45167    -0.061414    -0.015668    -0.045746      -5.3384      -5.7573           -1       958.68      -327.18      -5870.6       958.68      -327.18      -5870.6            0            0            0        9.829       -1.313           10       -10.61       1139.9       919.13       154.99      0.91502     -0.24887     0.032734            0      -3786.8      0.18903      0.91821      -1.0643            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.1182      0.19979     0.023864      0.17592    -0.060032      0.87804     -0.11364      0.99168     -0.43832    -0.055185     -0.01297    -0.042215      -5.5967      -5.9182           -1       887.94         -303      -5643.7       887.94         -303      -5643.7            0            0            0       9.8441      -1.2773           10       -10.13       1106.2       930.67       139.27      0.91541     -0.24876      0.03124            0      -3683.9      0.17535       0.9162      -1.0236            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.0725      0.18371     0.021384      0.16233    -0.055415      0.87813     -0.10183      0.97996     -0.42432    -0.050166    -0.011384    -0.038782      -5.8381       -6.046           -1       819.31       -279.7      -5413.3       819.31       -279.7      -5413.3            0            0            0       9.8565      -1.2503           10      -9.7199       1070.8       930.76        126.6      0.91573     -0.24864     0.029714            0        -3606        0.162      0.91352     -0.98212            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.0263      0.16887     0.019688      0.14918     -0.05098      0.87133    -0.093754      0.96508     -0.40972    -0.045818     -0.01036    -0.035458      -6.0773      -6.1566           -1       752.95      -257.31      -5179.8       752.95      -257.31      -5179.8            0            0            0       9.8673      -1.2278           10      -9.3441         1034       923.55       115.63      0.91598     -0.24853     0.028157            0      -3541.3      0.14904      0.91014     -0.94003            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0     -0.97942      0.15482      0.01834      0.13648    -0.046736      0.85973    -0.087332      0.94707      -0.3945    -0.041792   -0.0095595    -0.032233      -6.3262      -6.2607           -1       688.86      -235.89      -4943.4       688.86      -235.89      -4943.4            0            0            0       9.8774      -1.2074           10      -8.9826       995.57       911.26       105.47      0.91616     -0.24843     0.026565            0      -3482.3      0.13649      0.90609     -0.89731            0            0            0            0            0            0            0            0            0          294         0.58            1  
