LongerDesign-lesstriangles2-rearleft
30m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -18            0            0      -0.8355      0.11165      0.01029      0.10136     -0.03515      0.82411    -0.048999      0.87311     -0.34515    -0.028337   -0.0050663     -0.02327      -7.4834      -6.8402           -1       4604.2      -1596.7       -37953       4604.2      -1596.7       -37953            0            0            0       29.736      -1.1051           30      -7.6113       7839.4       7861.6       643.61      0.91621     -0.24816     0.021556            0      -3187.3      0.30516      0.88785     -0.76549            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -17            0            0     -0.78647      0.10044    0.0097398       0.0907    -0.031683      0.79531     -0.04638      0.84169     -0.32749    -0.025293    -0.004757    -0.020536      -7.8303      -6.9442           -1       4120.1      -1439.2       -35726       4120.1      -1439.2       -35726            0            0            0       29.758      -1.0886           30      -7.2778       7438.3       7586.8       574.47      0.91601     -0.24808     0.019794            0      -3139.6      0.27328      0.87916     -0.72042            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -16            0            0     -0.73695      0.08987    0.0092827     0.080587     -0.02842      0.76264    -0.044203      0.80684     -0.30922    -0.022431   -0.0045015    -0.017929      -8.2002      -7.0396           -1       3660.7        -1291       -33477       3660.7        -1291       -33477            0            0            0       29.779      -1.0738           30      -6.9528       7023.2       7275.1       509.47      0.91569     -0.24801     0.017976            0      -3097.1      0.24298       0.8688     -0.67482            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -15            0            0     -0.68696     0.079915    0.0088749     0.071041    -0.025362      0.72625    -0.042261      0.76852     -0.29034    -0.019731    -0.004271     -0.01546      -8.5961      -7.1248           -1       3227.1      -1152.1       -31206       3227.1      -1152.1       -31206            0            0            0       29.799       -1.061           30      -6.6355       6594.5         6928       448.14      0.91521     -0.24795     0.016091            0        -3060      0.21434      0.85638     -0.62872            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -14            0            0     -0.63652     0.070544    0.0084725     0.062072    -0.022513      0.68632    -0.040345      0.72667     -0.27086     -0.01718    -0.004052    -0.013128       -9.023      -7.1988           -1       2819.7      -1022.7       -28915       2819.7      -1022.7       -28915            0            0            0       29.817      -1.0501           30      -6.3242         6152       6547.1       390.21      0.91455     -0.24789     0.014126            0      -3028.6       0.1874      0.84147     -0.58213            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -13            0            0     -0.58567     0.061824    0.0081242       0.0537    -0.019874      0.64262    -0.038687      0.68131      -0.2508    -0.014802   -0.0038602    -0.010941      -9.4732      -7.2498           -1       2439.4       -902.8       -26605       2439.4       -902.8       -26605            0            0            0       29.834      -1.0427           30      -6.0259       5696.3       6130.2       336.19      0.91366     -0.24784     0.012064            0      -3007.2      0.16221      0.82346     -0.53511            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -12            0            0     -0.53442     0.053737    0.0078004     0.045937    -0.017449      0.59523    -0.037145      0.63238     -0.23014    -0.012586   -0.0036833   -0.0089032      -9.9451      -7.2703           -1       2086.7      -792.62       -24277       2086.7      -792.62       -24277            0            0            0       29.849      -1.0397           30      -5.7419       5227.1       5678.2       285.88      0.91249      -0.2478    0.0098776            0      -2998.8      0.13883      0.80151     -0.48766            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -11            0            0     -0.48281     0.046298    0.0074987     0.038799    -0.015238      0.54416    -0.035708      0.57987      -0.2089    -0.010538    -0.003519   -0.0070191      -10.428       -7.246           -1       1762.5      -692.19       -21932       1762.5      -692.19       -21932            0            0            0       29.863      -1.0432           30      -5.4776       4744.8         5191       239.35      0.91096     -0.24777    0.0075312            0      -3008.8      0.11732      0.77451     -0.43982            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -10            0            0     -0.43084     0.039517    0.0072218     0.032295    -0.013244      0.48937    -0.034389      0.52376     -0.18709   -0.0086579   -0.0033678   -0.0052901      -10.903      -7.1564           -1         1467      -601.64       -19571         1467      -601.64       -19571            0            0            0       29.875      -1.0563           30      -5.2405       4249.4       4668.3       196.65      0.90893     -0.24775    0.0049683            0      -3046.5     0.097687      0.74098     -0.39161            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -9            0            0     -0.37858     0.033417    0.0069791     0.026438     -0.01147      0.43085    -0.033234      0.46408     -0.16471   -0.0069572   -0.0032369   -0.0037202      -11.329      -6.9705           -1         1201      -521.03       -17197         1201      -521.03       -17197            0            0            0       29.884      -1.0845           30      -5.0444       3741.2       4110.1       158.02      0.90621     -0.24775    0.0021024            0      -3127.7     0.079994      0.69886     -0.34307            0            0            0            0            0            0            0            0            0          294         0.58            1  
