LongerDesign-lesstriangles2-rearleft
25m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0       -1.378      0.29367     0.028003      0.26566    -0.091325      0.86558     -0.13335      0.99893     -0.50931    -0.080826    -0.016125    -0.064701      -4.6923      -5.5082           -1       8380.5      -2880.9       -43469       8380.5      -2880.9       -43469            0            0            0       24.451      -1.3724           25      -12.031       8033.3       5734.1       1274.9      0.91233     -0.24954     0.039773            0      -3958.1      0.65769      0.92142      -1.2572            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.3364      0.27226     0.022419      0.24984      -0.0857      0.89806     -0.10676       1.0048       -0.499    -0.073089    -0.012331    -0.060758      -4.9085      -5.6744           -1       7881.5      -2703.5       -42158       7881.5      -2703.5       -42158            0            0            0       24.497      -1.3322           25      -11.515       7870.7       5949.3       1152.8      0.91297      -0.2494     0.038422            0      -3842.2      0.61968      0.92154      -1.2201            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0      -1.2941      0.25413     0.019796      0.23433    -0.080236      0.91374    -0.094268        1.008     -0.48809      -0.0675    -0.010622    -0.056878      -5.0924      -5.7931           -1       7392.1      -2531.1       -40824       7392.1      -2531.1       -40824            0            0            0       24.531      -1.3049           25       -11.11       7698.5       6053.2       1064.7      0.91355     -0.24926     0.037042            0      -3763.4      0.58203      0.92136      -1.1822            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0      -1.2511      0.23735     0.018182      0.21917    -0.074929      0.92171    -0.086583       1.0083     -0.47656    -0.062702    -0.009613    -0.053089      -5.2711       -5.896           -1       6913.9      -2363.7       -39468       6913.9      -2363.7       -39468            0            0            0       24.562      -1.2821           25      -10.742       7516.7         6106       988.99      0.91409     -0.24912     0.035635            0      -3697.8      0.54506      0.92071      -1.1436            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.2075      0.22125     0.016891      0.20436    -0.069792      0.92532    -0.080434       1.0057     -0.46442    -0.058198   -0.0088286     -0.04937      -5.4574      -5.9968           -1       6446.7      -2201.6       -38090       6446.7      -2201.6       -38090            0            0            0       24.591      -1.2605           25      -10.384       7325.2       6129.8       917.95      0.91458       -0.249     0.034199            0      -3635.6      0.50881      0.91971      -1.1043            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.1631      0.20569     0.015748      0.18994    -0.064823      0.92522     -0.07499       1.0002     -0.45167    -0.053893   -0.0081472    -0.045746      -5.6548      -6.0986           -1       5991.8      -2044.9       -36691       5991.8      -2044.9       -36691            0            0            0       24.618      -1.2395           25      -10.029       7124.1       6129.2       850.05      0.91502     -0.24887     0.032734            0      -3574.9      0.47344      0.91821      -1.0643            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.1182      0.19073     0.014806      0.17592    -0.060032      0.92118    -0.070506      0.99168     -0.43832     -0.04981   -0.0075952    -0.042215      -5.8625      -6.1992           -1       5549.7      -1893.7       -35273       5549.7      -1893.7       -35273            0            0            0       24.644      -1.2194           25        -9.68       6913.5       6102.4       785.65      0.91541     -0.24876      0.03124            0      -3516.9      0.43897       0.9162      -1.0236            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.0725      0.17636     0.014031      0.16233    -0.055415      0.91315    -0.066813      0.97996     -0.42432    -0.045936   -0.0071545    -0.038782      -6.0815      -6.2981           -1       5120.7      -1748.1       -33833       5120.7      -1748.1       -33833            0            0            0       24.669      -1.2002           25      -9.3378       6692.7       6049.2       724.54      0.91573     -0.24864     0.029714            0      -3461.7      0.40544      0.91352     -0.98212            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.0263      0.16252      0.01334      0.14918     -0.05098      0.90156    -0.063523      0.96508     -0.40972    -0.042232   -0.0067746    -0.035458      -6.3147      -6.3971           -1         4706      -1608.2       -32374         4706      -1608.2       -32374            0            0            0       24.692      -1.1817           25      -8.9987       6462.4       5972.5       666.13      0.91598     -0.24853     0.028157            0      -3408.1      0.37296      0.91014     -0.94003            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0     -0.97942      0.14919     0.012709      0.13648    -0.046736      0.88655    -0.060518      0.94707      -0.3945    -0.038663   -0.0064304    -0.032233      -6.5649       -6.497           -1       4305.4      -1474.3       -30896       4305.4      -1474.3       -30896            0            0            0       24.715      -1.1635           25       -8.661       6222.3         5873       609.83      0.91616     -0.24843     0.026565            0      -3355.7      0.34153      0.90609     -0.89731            0            0            0            0            0            0            0            0            0          294         0.58            1  
