LongerDesign-lesstriangles2-rearleft
5m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0       -1.378      0.37836       0.1127      0.26566    -0.091325      0.46226     -0.53667      0.99893     -0.50931     -0.12762    -0.062917    -0.064701      -3.6419      -4.2752           -1       335.22      -115.24      -1738.8       335.22      -115.24      -1738.8            0            0            0       4.8215      -1.7682            5      -15.354       321.33       122.49       80.516      0.91233     -0.24954     0.039773            0      -5099.7      0.12969      0.92142      -1.2572            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.3364      0.34952     0.099674      0.24984      -0.0857      0.53018     -0.47464       1.0048       -0.499     -0.11733     -0.05657    -0.060758      -3.8236      -4.4202           -1       315.26      -108.14      -1686.3       315.26      -108.14      -1686.3            0            0            0       4.8373      -1.7102            5      -14.657       314.83       140.49       74.024      0.91297      -0.2494     0.038422            0      -4932.4      0.12237      0.92154      -1.2201            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0      -1.2941      0.32092     0.086593      0.23433    -0.080236      0.59567     -0.41235        1.008     -0.48809     -0.10599    -0.049112    -0.056878      -4.0325      -4.5874           -1       295.68      -101.24        -1633       295.68      -101.24        -1633            0            0            0        4.853      -1.6478            5      -13.928       307.94       157.84        66.87      0.91355     -0.24926     0.037042            0      -4752.6      0.11514      0.92136      -1.1822            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0      -1.2511      0.29466     0.075487      0.21917    -0.074929      0.64883     -0.35946       1.0083     -0.47656    -0.095341    -0.042252    -0.053089       -4.246      -4.7493           -1       276.56      -94.548      -1578.7       276.56      -94.548      -1578.7            0            0            0       4.8668      -1.5916            5      -13.252       300.67       171.93       60.152      0.91409     -0.24912     0.035635            0      -4590.5        0.108      0.92071      -1.1436            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.2075      0.26402      0.05966      0.20436    -0.069792      0.72165      -0.2841       1.0057     -0.46442    -0.082978    -0.033609     -0.04937      -4.5733      -5.0254           -1       257.87      -88.065      -1523.6       257.87      -88.065      -1523.6            0            0            0       4.8846      -1.5042            5      -12.334       293.01       191.23       52.352      0.91458       -0.249     0.034199            0      -4338.3      0.10107      0.91971      -1.1043            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.1631      0.24091     0.050969      0.18994    -0.064823       0.7575     -0.24271       1.0002     -0.45167    -0.074496     -0.02875    -0.045746      -4.8281       -5.207           -1       239.67      -81.796      -1467.7       239.67      -81.796      -1467.7            0            0            0       4.8961      -1.4518            5      -11.702       284.96       200.72       47.001      0.91502     -0.24887     0.032734            0      -4187.1     0.094158      0.91821      -1.0643            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.1182      0.21947     0.043545      0.17592    -0.060032      0.78432     -0.20736      0.99168     -0.43832    -0.066848    -0.024633    -0.042215      -5.0948      -5.3875           -1       221.99       -75.75      -1410.9       221.99       -75.75      -1410.9            0            0            0       4.9064      -1.4031            5      -11.105       276.54       207.83       42.175      0.91541     -0.24876      0.03124            0      -4046.8     0.087394       0.9162      -1.0236            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.0725      0.20143     0.039103      0.16233    -0.055415      0.79376      -0.1862      0.97996     -0.42432    -0.060913    -0.022132    -0.038782      -5.3245      -5.5142           -1       204.83      -69.924      -1353.3       204.83      -69.924      -1353.3            0            0            0       4.9141      -1.3709            5      -10.637       267.71       210.33       38.431      0.91573     -0.24864     0.029714            0      -3953.8     0.080765      0.91352     -0.98212            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.0263      0.18323     0.034055      0.14918     -0.05098      0.80292     -0.16217      0.96508     -0.40972    -0.054523    -0.019065    -0.035458      -5.6008      -5.6739           -1       188.24      -64.328        -1295       188.24      -64.328        -1295            0            0            0       4.9222      -1.3323            5      -10.123        258.5       212.76       34.399      0.91598     -0.24853     0.028157            0      -3842.5     0.074346      0.91014     -0.94003            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0     -0.97942      0.16533      0.02885      0.13648    -0.046736      0.80968     -0.13738      0.94707      -0.3945    -0.047974    -0.015741    -0.032233       -5.924      -5.8627           -1       172.21      -58.972      -1235.9       172.21      -58.972      -1235.9            0            0            0       4.9302      -1.2894            5      -9.5815       248.89       214.55       30.268      0.91616     -0.24843     0.026565            0      -3718.7     0.068129      0.90609     -0.89731            0            0            0            0            0            0            0            0            0          294         0.58            1  
