LongerDesign-lesstriangles2-rearleft
20m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0       -1.378      0.30151     0.035845      0.26566    -0.091325      0.82824     -0.17069      0.99893     -0.50931    -0.085809    -0.021108    -0.064701      -4.5703      -5.3649           -1       5363.5      -1843.8       -27820       5363.5      -1843.8       -27820            0            0            0       19.538       -1.409           20      -12.342       5141.3       3511.5       866.21      0.91233     -0.24954     0.039773            0      -4063.8      0.52554      0.92142      -1.2572            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.3364      0.27691     0.027069      0.24984      -0.0857      0.87592      -0.1289       1.0048       -0.499    -0.076016    -0.015258    -0.060758      -4.8261      -5.5791           -1       5044.1      -1730.2       -26981       5044.1      -1730.2       -26981            0            0            0       19.584      -1.3549           20      -11.706       5037.2       3713.7       767.35      0.91297      -0.2494     0.038422            0      -3907.8      0.49541      0.92154      -1.2201            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0      -1.2941      0.25651     0.022182      0.23433    -0.080236      0.90239     -0.10563        1.008     -0.48809    -0.068934    -0.012056    -0.056878      -5.0451      -5.7393           -1       4730.9      -1619.9       -26127       4730.9      -1619.9       -26127            0            0            0       19.618      -1.3171           20      -11.211         4927       3825.9       695.86      0.91355     -0.24926     0.037042            0      -3798.7      0.46546      0.92136      -1.1822            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0      -1.2511      0.23885     0.019681      0.21917    -0.074929      0.91458    -0.093717       1.0083     -0.47656    -0.063558    -0.010469    -0.053089      -5.2381       -5.859           -1       4424.9      -1512.8       -25259       4424.9      -1512.8       -25259            0            0            0       19.645      -1.2902           20      -10.808       4810.7       3877.6       641.59      0.91409     -0.24912     0.035635            0      -3721.1      0.43595      0.92071      -1.1436            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.2075      0.22254     0.018179      0.20436    -0.069792      0.91918    -0.086565       1.0057     -0.46442    -0.058919    -0.009549     -0.04937      -5.4258      -5.9621           -1       4125.9        -1409       -24378       4125.9        -1409       -24378            0            0            0       19.669      -1.2679           20      -10.443       4688.1       3897.1       594.76      0.91458       -0.249     0.034199            0      -3656.7      0.40697      0.91971      -1.1043            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.1631      0.20704     0.017099      0.18994    -0.064823      0.91878    -0.081425       1.0002     -0.45167    -0.054653   -0.0089069    -0.045746      -5.6179      -6.0588           -1       3834.7      -1308.7       -23483       3834.7      -1308.7       -23483            0            0            0        19.69      -1.2476           20      -10.093       4559.4       3895.4        551.7      0.91502     -0.24887     0.032734            0      -3598.4      0.37868      0.91821      -1.0643            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.1182      0.19207     0.016145      0.17592    -0.060032       0.9148    -0.076883      0.99168     -0.43832    -0.050579   -0.0083643    -0.042215      -5.8217       -6.156           -1       3551.8        -1212       -22575       3551.8        -1212       -22575            0            0            0       19.711      -1.2279           20      -9.7467       4424.7       3878.5       510.58      0.91541     -0.24876      0.03124            0      -3541.6       0.3511       0.9162      -1.0236            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.0725      0.17762      0.01529      0.16233    -0.055415      0.90715    -0.072809      0.97996     -0.42432    -0.046664   -0.0078826    -0.038782      -6.0384      -6.2535           -1       3277.2      -1118.8       -21653       3277.2      -1118.8       -21653            0            0            0       19.731      -1.2088           20      -9.4033       4283.4       3846.1       471.06      0.91573     -0.24864     0.029714            0      -3486.4      0.32429      0.91352     -0.98212            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.0263      0.16366      0.01448      0.14918     -0.05098      0.89613    -0.068952      0.96508     -0.40972    -0.042874   -0.0074161    -0.035458      -6.2707      -6.3525           -1       3011.8      -1029.3       -20719       3011.8      -1029.3       -20719            0            0            0        19.75        -1.19           20      -9.0608         4136       3799.4        432.8      0.91598     -0.24853     0.028157            0        -3432      0.29832      0.91014     -0.94003            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0     -0.97942      0.15019     0.013712      0.13648    -0.046736      0.88177    -0.065297      0.94707      -0.3945    -0.039205    -0.006972    -0.032233      -6.5211      -6.4536           -1       2755.4      -943.56       -19774       2755.4      -943.56       -19774            0            0            0       19.769      -1.1713           20      -8.7183       3982.3       3738.5       395.76      0.91616     -0.24843     0.026565            0      -3378.2      0.27318      0.90609     -0.89731            0            0            0            0            0            0            0            0            0          294         0.58            1  
