LongerDesign-lesstriangles2-rearleft
15m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0       -1.378      0.31835     0.052691      0.26566    -0.091325      0.74802     -0.25091      0.99893     -0.50931    -0.097168    -0.032467    -0.064701      -4.3284       -5.081           -1         3017      -1037.1       -15649         3017      -1037.1       -15649            0            0            0       14.615      -1.4877           15      -13.009         2892       1783.9       551.74      0.91233     -0.24954     0.039773            0      -4290.8      0.39312      0.92142      -1.2572            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.3364      0.29312     0.043274      0.24984      -0.0857      0.79875     -0.20607       1.0048       -0.499    -0.087086    -0.026328    -0.060758      -4.5593      -5.2707           -1       2837.3      -973.25       -15177       2837.3      -973.25       -15177            0            0            0       14.652      -1.4342           15      -12.371       2833.4       1904.9        494.5      0.91297      -0.2494     0.038422            0      -4136.5      0.37064      0.92154      -1.2201            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0      -1.2941      0.26847     0.034136      0.23433    -0.080236      0.84546     -0.16255        1.008     -0.48809     -0.07706    -0.020182    -0.056878      -4.8204      -5.4837           -1       2661.2      -911.19       -14697       2661.2      -911.19       -14697            0            0            0       14.687      -1.3785           15       -11.72       2771.5       2016.3       437.56      0.91355     -0.24926     0.037042            0      -3975.8      0.34847      0.92136      -1.1822            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0      -1.2511      0.24611      0.02694      0.21917    -0.074929      0.88001     -0.12828       1.0083     -0.47656    -0.068355    -0.015266    -0.053089      -5.0836      -5.6862           -1         2489      -850.93       -14208         2489      -850.93       -14208            0            0            0       14.718      -1.3294           15      -11.129         2706       2098.7       388.14      0.91409     -0.24912     0.035635            0      -3834.2      0.32661      0.92071      -1.1436            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.2075      0.22701     0.022653      0.20436    -0.069792      0.89788     -0.10787       1.0057     -0.46442    -0.061748    -0.012378     -0.04937      -5.3189      -5.8446           -1       2320.8      -792.59       -13712       2320.8      -792.59       -13712            0            0            0       14.742      -1.2934           15      -10.648       2637.1       2141.3       350.62      0.91458       -0.249     0.034199            0      -3730.2      0.30503      0.91971      -1.1043            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.1631      0.21018     0.020245      0.18994    -0.064823       0.9038    -0.096404       1.0002     -0.45167    -0.056567    -0.010822    -0.045746      -5.5338      -5.9681           -1         2157      -736.16       -13209         2157      -736.16       -13209            0            0            0       14.761      -1.2666           15      -10.243       2564.7       2155.4        321.2      0.91502     -0.24887     0.032734            0      -3653.1      0.28387      0.91821      -1.0643            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.1182      0.19458     0.018655      0.17592    -0.060032      0.90285    -0.088831      0.99168     -0.43832    -0.052039   -0.0098237    -0.042215      -5.7466      -6.0766           -1       1997.9      -681.75       -12698       1997.9      -681.75       -12698            0            0            0       14.778       -1.244           15      -9.8715       2488.9       2153.2       295.49      0.91541     -0.24876      0.03124            0      -3587.8      0.26323       0.9162      -1.0236            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.0725      0.17974     0.017417      0.16233    -0.055415      0.89702     -0.08294      0.97996     -0.42432    -0.047868   -0.0090868    -0.038782      -5.9669      -6.1794           -1       1843.4      -629.32       -12180       1843.4      -629.32       -12180            0            0            0       14.794      -1.2233           15      -9.5138       2409.4       2139.3       271.81      0.91573     -0.24864     0.029714            0      -3528.1      0.24314      0.91352     -0.98212            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.0263      0.16545     0.016269      0.14918     -0.05098      0.88761     -0.07747      0.96508     -0.40972    -0.043861   -0.0084037    -0.035458      -6.2029      -6.2838           -1       1694.1      -578.96       -11655       1694.1      -578.96       -11655            0            0            0       14.809       -1.203           15      -9.1581       2326.5       2116.8       249.06      0.91598     -0.24853     0.028157            0      -3469.5      0.22368      0.91014     -0.94003            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0     -0.97942      0.15164     0.015162      0.13648    -0.046736      0.87487    -0.072199      0.94707      -0.3945    -0.039995   -0.0077615    -0.032233      -6.4587      -6.3919           -1       1549.9      -530.75       -11123       1549.9      -530.75       -11123            0            0            0       14.823      -1.1826           15      -8.8012         2240       2086.4        227.1      0.91616     -0.24843     0.026565            0      -3410.8      0.20484      0.90609     -0.89731            0            0            0            0            0            0            0            0            0          294         0.58            1  
