LongerDesign-lesstriangles2-front
25m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -19            0            0      -1.0308      0.12337     0.014752      0.10861    -0.021034      -4.4315    -0.097051      -4.3345     -0.46996    -0.081856   -0.0074436    -0.074413      -8.3554      -8.4829           -1         2538      -491.51       -24086         2538      -491.51       -24086            0            0            0       24.823      -1.0354           25      -6.8249       5490.9       -15740       956.38     0.042816     -0.24829     0.012552            0      -2986.2      0.20221      0.93413    -0.044134            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -18            0            0     -0.97273      0.11104     0.013831     0.097213     -0.01914      -4.1492    -0.090996      -4.0582     -0.44476    -0.073808    -0.006952    -0.066856      -8.7598      -8.6395           -1       2271.6      -447.24       -22730       2271.6      -447.24       -22730            0            0            0       24.839      -1.0166           25      -6.5126       5196.4       -14737       862.34     0.042768     -0.24822     0.011592            0        -2932       0.1811      0.92946    -0.041602            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -17            0            0     -0.91423     0.099233     0.012824      0.08641    -0.017349      -3.8686    -0.084367      -3.7843     -0.41916    -0.066122   -0.0064151    -0.059707       -9.213       -8.809           -1       2019.1       -405.4       -21363       2019.1       -405.4       -21363            0            0            0       24.854     -0.99705           25      -6.1948       4897.3       -13741       772.54     0.042645     -0.24815     0.010596            0      -2875.6      0.16107      0.92368    -0.038987            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -16            0            0      -0.8553     0.088148     0.011932     0.076216    -0.015663      -3.5914    -0.078498      -3.5129     -0.39315    -0.058911   -0.0059382    -0.052973      -9.7031      -8.9736           -1       1780.9      -366.01       -19986       1780.9      -366.01       -19986            0            0            0       24.868     -0.97876           25      -5.8841       4593.5       -12756        688.3     0.042434     -0.24809    0.0095597            0      -2822.9      0.14215      0.91657    -0.036293            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -15            0            0     -0.79596     0.077847     0.011204     0.066644    -0.014084      -3.3179     -0.07371      -3.2442     -0.36676    -0.052213   -0.0055538     -0.04666      -10.225       -9.122           -1       1557.3      -329.11       -18599       1557.3      -329.11       -18599            0            0            0       24.881     -0.96284           25       -5.586       4285.1       -11784       610.04     0.042119     -0.24803    0.0084759            0        -2777      0.12436      0.90781    -0.033525            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -14            0            0     -0.73623     0.068195     0.010491     0.057704    -0.012613      -3.0473    -0.069017      -2.9783     -0.33999    -0.045946   -0.0051734    -0.040772      -10.796      -9.2634           -1       1348.4      -294.72       -17204       1348.4      -294.72       -17204            0            0            0       24.893     -0.94815           25       -5.292       3972.3       -10823       536.81     0.041679     -0.24799    0.0073359            0      -2734.6      0.10773        0.897    -0.030685            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -13            0            0     -0.67614     0.059233    0.0098251     0.049408     -0.01125        -2.78    -0.064639      -2.7154     -0.31284    -0.040134   -0.0048174    -0.035316      -11.415      -9.3862           -1       1154.5      -262.88       -15799       1154.5      -262.88       -15799            0            0            0       24.905     -0.93574           25      -5.0066       3655.1      -9874.2        468.9     0.041086     -0.24795    0.0061269            0      -2698.8     0.092287      0.88358     -0.02778            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -12            0            0     -0.61571     0.051048     0.009282     0.041766   -0.0099975      -2.5167    -0.061066      -2.4557     -0.28533    -0.034827    -0.004531    -0.030296      -12.061      -9.4643           -1       975.95      -233.61       -14387       975.95      -233.61       -14387            0            0            0       24.915     -0.92802           25      -4.7395       3333.7        -8939       406.91     0.040298     -0.24791    0.0048312            0      -2676.5     0.078043      0.86677    -0.024812            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -11            0            0     -0.55497     0.043543     0.008757     0.034786    -0.008856      -2.2568    -0.057612      -2.1992     -0.25747    -0.029971   -0.0042532    -0.025718      -12.745      -9.4947           -1       812.86      -206.94       -12968       812.86      -206.94       -12968            0            0            0       24.923     -0.92504           25      -4.4863       3008.1      -8015.8       350.17     0.039257     -0.24789    0.0034228            0        -2668     0.065025      0.84548    -0.021787            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -10            0            0     -0.49395     0.036788    0.0083098     0.028479   -0.0078266      -2.0009     -0.05467      -1.9462     -0.22925    -0.025603   -0.0040183    -0.021584      -13.427      -9.4364           -1       665.47      -182.88       -11542       665.47      -182.88       -11542            0            0            0       24.931     -0.93076           25      -4.2595       2678.5      -7106.7       299.13     0.037876     -0.24788    0.0018623            0      -2684.4      0.05325      0.81811    -0.018709            0            0            0            0            0            0            0            0            0          294         0.58            1  
