LongerDesign-lesstriangles2-front
20m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0      -1.6329      0.37748      0.10805      0.26944    -0.048215      -8.1932     -0.71082      -7.4824     -0.71876      -0.2433    -0.060843     -0.18246      -4.3258      -5.5278           -1       4029.4      -721.05       -24420       4029.4      -721.05       -24420            0            0            0       19.486      -1.5889           20      -13.016       5374.5       -18625       1819.3     0.040177     -0.24936     0.021412            0      -4582.6      0.39377      0.94503    -0.065606            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.5813      0.35409      0.10168      0.25241    -0.045299      -7.8599     -0.66893       -7.191     -0.69839       -0.229    -0.058111     -0.17089      -4.4657      -5.6156           -1       3774.9      -677.45       -23648       3774.9      -677.45       -23648            0            0            0       19.517       -1.564           20      -12.622       5222.2       -17867       1712.4      0.04059     -0.24924     0.020716            0      -4510.9      0.36947      0.94596    -0.064185            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0       -1.529      0.31952     0.083695      0.23582    -0.042466      -7.4508     -0.55062      -6.9002     -0.67756     -0.20724    -0.047593     -0.15965      -4.7852       -5.917           -1       3526.8      -635.08       -22866       3526.8      -635.08       -22866            0            0            0       19.577      -1.4844           20      -11.804       5066.4       -16937       1549.7     0.040976     -0.24913         0.02            0      -4281.1      0.34626      0.94663    -0.062651            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0       -1.476       0.2861     0.066421      0.21968    -0.039717       -7.047     -0.43698        -6.61     -0.65626     -0.18655    -0.037808     -0.14874       -5.159      -6.2677           -1       3285.3      -593.98       -22074       3285.3      -593.98       -22074            0            0            0       19.635      -1.4013           20       -10.97       4907.2       -16019       1394.9     0.041333     -0.24902     0.019264            0      -4041.6       0.3235        0.947    -0.061007            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.4224       0.2548     0.050792      0.20401    -0.037056      -6.6549     -0.33416      -6.3208     -0.63452     -0.16687    -0.028698     -0.13817      -5.5824      -6.6578           -1       3050.9      -554.18       -21272       3050.9      -554.18       -21272            0            0            0       19.687      -1.3192           20      -10.156       4744.6       -15128       1247.8     0.041658     -0.24891     0.018506            0      -3804.8      0.30121      0.94704    -0.059254            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.3682      0.22528     0.036467      0.18881    -0.034484      -6.2725     -0.23992      -6.0325     -0.61232     -0.14807    -0.020122     -0.12795      -6.0732      -7.1037           -1       2823.7      -515.71       -20461       2823.7      -515.71       -20461            0            0            0       19.734      -1.2364           20      -9.3503       4578.6       -14258       1107.2      0.04195     -0.24881     0.017727            0      -3565.9      0.27945      0.94671    -0.057394            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.3133      0.20087     0.026758      0.17411    -0.032003      -5.9216     -0.17604      -5.7455     -0.58968     -0.13232    -0.014236     -0.11809      -6.5382      -7.4928           -1       2603.8      -478.61       -19641       2603.8      -478.61       -19641            0            0            0        19.77      -1.1722           20      -8.6959       4409.3       -13461       989.46     0.042205     -0.24871     0.016925            0      -3380.8      0.25817      0.94599    -0.055429            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.2579      0.18258     0.022649      0.15993    -0.029615      -5.6089       -0.149      -5.4599     -0.56659     -0.12037    -0.011779     -0.10859      -6.8897      -7.7273           -1       2391.7       -442.9       -18812       2391.7       -442.9       -18812            0            0            0       19.793      -1.1366           20      -8.2584       4236.7       -12750       900.07     0.042422     -0.24862     0.016101            0      -3278.2       0.2374       0.9448    -0.053363            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.2019      0.16668     0.020409      0.14627    -0.027323      -5.3101     -0.13427      -5.1758     -0.54308     -0.10997    -0.010505    -0.099468      -7.2109      -7.9055           -1       2187.5      -408.61       -17975       2187.5      -408.61       -17975            0            0            0        19.81       -1.111           20      -7.8953       4060.9       -12071       822.33     0.042596     -0.24853     0.015253            0      -3204.3      0.21733      0.94311    -0.051197            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0      -1.1454      0.15198     0.018823      0.13316    -0.025127      -5.0173     -0.12384      -4.8934     -0.51913     -0.10036   -0.0096305    -0.090726      -7.5364      -8.0657           -1       1991.4      -375.78       -17129       1991.4      -375.78       -17129            0            0            0       19.826      -1.0889           20      -7.5584       3881.8       -11405       750.42     0.042723     -0.24844     0.014381            0      -3140.7        0.198      0.94083    -0.048935            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -20            0            0      -1.0883      0.13799     0.017386       0.1206    -0.023031      -4.7273     -0.11438      -4.6129     -0.49475    -0.091216   -0.0088439    -0.082372      -7.8873      -8.2282           -1       1803.6      -344.42       -16276       1803.6      -344.42       -16276            0            0            0       19.841      -1.0674           20      -7.2258       3699.5       -10746       682.07     0.042799     -0.24836     0.013481            0      -3078.6      0.17946      0.93787    -0.046579            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -19            0            0      -1.0308      0.12468     0.016068      0.10861    -0.021034      -4.4402     -0.10571      -4.3345     -0.46996    -0.082545   -0.0081325    -0.074413      -8.2672      -8.3934           -1       1624.3      -314.57       -15415       1624.3      -314.57       -15415            0            0            0       19.855      -1.0464           20       -6.897       3514.2       -10093       617.23     0.042816     -0.24829     0.012552            0        -3018      0.16174      0.93413    -0.044134            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -18            0            0     -0.97273      0.11205     0.014842     0.097213     -0.01914      -4.1558    -0.097642      -4.0582     -0.44476    -0.074331    -0.007475    -0.066856      -8.6808      -8.5617           -1       1453.8      -286.24       -14547       1453.8      -286.24       -14547            0            0            0       19.869      -1.0259           20      -6.5713       3325.7      -9446.9       555.81     0.042768     -0.24822     0.011592            0      -2958.7      0.14486      0.92946    -0.041602            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -17            0            0     -0.91423      0.10028     0.013869      0.08641    -0.017349      -3.8755    -0.091242      -3.7843     -0.41916    -0.066672   -0.0069647    -0.059707      -9.1169      -8.7172           -1       1292.3      -259.46       -13672       1292.3      -259.46       -13672            0            0            0       19.881      -1.0076           20      -6.2595       3134.2      -8809.7       498.54     0.042645     -0.24815     0.010596            0      -2905.9      0.12884      0.92368    -0.038987            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -16            0            0      -0.8553     0.089215        0.013     0.076216    -0.015663      -3.5984    -0.085524      -3.5129     -0.39315    -0.059476   -0.0065027    -0.052973      -9.5869      -8.8662           -1       1139.8      -234.25       -12791       1139.8      -234.25       -12791            0            0            0       19.892     -0.99062           20      -5.9549       2939.8      -8179.7       444.73     0.042434     -0.24809    0.0095597            0      -2857.1      0.11371      0.91657    -0.036293            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -15            0            0     -0.79596     0.078775     0.012131     0.066644    -0.014084       -3.324    -0.079811      -3.2442     -0.36676    -0.052698   -0.0060387     -0.04666      -10.104      -9.0147           -1       996.65      -210.63       -11904       996.65      -210.63       -11904            0            0            0       19.903     -0.97431           20      -5.6521       2742.5      -7555.9       394.05     0.042119     -0.24803    0.0084759            0        -2810     0.099479      0.90781    -0.033525            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -14            0            0     -0.73623     0.068941     0.011237     0.057704    -0.012613      -3.0522    -0.073929      -2.9783     -0.33999    -0.046334   -0.0055618    -0.040772      -10.679      -9.1631           -1       862.97      -188.62       -11010       862.97      -188.62       -11010            0            0            0       19.913     -0.95853           20      -5.3496       2542.3      -6938.2       346.46     0.041679     -0.24799    0.0073359            0      -2764.5     0.086179        0.897    -0.030685            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -13            0            0     -0.67614     0.059963     0.010555     0.049408     -0.01125      -2.7848    -0.069439      -2.7154     -0.31284    -0.040516   -0.0051994    -0.035316      -11.276      -9.2719           -1        738.9      -168.24       -10112        738.9      -168.24       -10112            0            0            0       19.922     -0.94727           20       -5.068       2339.3      -6330.4       302.96     0.041086     -0.24795    0.0061269            0      -2732.1     0.073823      0.88358     -0.02778            0            0            0            0            0            0            0            0            0          294         0.58            1  
