LongerDesign-lesstriangles2-front
30m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0      -1.6329      0.36413     0.094696      0.26944    -0.048215      -8.1054       -0.623      -7.4824     -0.71876     -0.23618    -0.053722     -0.18246      -4.4844      -5.7304           -1       9066.2      -1622.4       -54946       9066.2      -1622.4       -54946            0            0            0       29.281      -1.5327           30      -12.571        12093       -41456       3973.6     0.040177     -0.24936     0.021412            0      -4420.5       0.5917      0.94503    -0.065606            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.5813      0.32562     0.073202      0.25241    -0.045299      -7.6726     -0.48159       -7.191     -0.69839     -0.21233    -0.041433     -0.17089      -4.8563      -6.1067           -1       8493.4      -1524.3       -53208       8493.4      -1524.3       -53208            0            0            0       29.383      -1.4383           30      -11.636        11750       -39242       3572.3      0.04059     -0.24924     0.020716            0      -4148.1      0.55626      0.94596    -0.064185            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0       -1.529      0.29348     0.057658      0.23582    -0.042466      -7.2795     -0.37933      -6.9002     -0.67756     -0.19228    -0.032628     -0.15965      -5.2097      -6.4419           -1       7935.2      -1428.9       -51448       7935.2      -1428.9       -51448            0            0            0       29.462      -1.3634           30      -10.866        11399       -37232         3235     0.040976     -0.24913         0.02            0      -3932.3      0.52109      0.94663    -0.062651            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0       -1.476      0.26278     0.043093      0.21968    -0.039717      -6.8935     -0.28351        -6.61     -0.65626     -0.17275    -0.024009     -0.14874       -5.617      -6.8241           -1         7392      -1336.4       -49666         7392      -1336.4       -49666            0            0            0       29.536      -1.2871           30      -10.095        11041       -35258       2906.4     0.041333     -0.24902     0.019264            0      -3712.1      0.48663        0.947    -0.061007            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.4224       0.2333     0.029292      0.20401    -0.037056      -6.5135     -0.19271      -6.3208     -0.63452     -0.15402    -0.015844     -0.13817      -6.0969      -7.2714           -1       6864.5      -1246.9       -47862       6864.5      -1246.9       -47862            0            0            0       29.604      -1.2079           30      -9.3146        10675       -33314       2591.2     0.041658     -0.24891     0.018506            0      -3483.7      0.45296      0.94704    -0.059254            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.3682      0.21195     0.023139      0.18881    -0.034484      -6.1848     -0.15223      -6.0325     -0.61232     -0.14007    -0.012118     -0.12795      -6.4551      -7.5505           -1       6353.2      -1160.3       -46037       6353.2      -1160.3       -46037            0            0            0       29.646      -1.1632           30       -8.806        10302       -31633       2356.6      0.04195     -0.24881     0.017727            0        -3355      0.41981      0.94671    -0.057394            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.3133      0.19442     0.020306      0.17411    -0.032003      -5.8791     -0.13359      -5.7455     -0.58968     -0.12857    -0.010482     -0.11809      -6.7552      -7.7414           -1       5858.6      -1076.9       -44192       5858.6      -1076.9       -44192            0            0            0       29.677      -1.1346           30      -8.4206         9921       -30069       2163.1     0.042205     -0.24871     0.016925            0      -3272.2      0.38753      0.94599    -0.055429            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.2579      0.17822     0.018297      0.15993    -0.029615      -5.5803     -0.12037      -5.4599     -0.56659     -0.11795   -0.0093535     -0.10859       -7.058       -7.916           -1       5381.3      -996.52       -42327       5381.3      -996.52       -42327            0            0            0       29.703      -1.1095           30      -8.0642       9532.6       -28541       1984.4     0.042422     -0.24862     0.016101            0      -3200.1      0.35628       0.9448    -0.053363            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.2019      0.16302     0.016751      0.14627    -0.027323       -5.286      -0.1102      -5.1758     -0.54308     -0.10798   -0.0085145    -0.099468      -7.3728      -8.0829           -1       4921.8      -919.38       -40443       4921.8      -919.38       -40443            0            0            0       29.728      -1.0866           30      -7.7241       9136.9       -27036       1816.7     0.042596     -0.24853     0.015253            0        -3134      0.32612      0.94311    -0.051197            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0      -1.1454      0.14879      0.01563      0.13316    -0.025127      -4.9963     -0.10283      -4.8934     -0.51913    -0.098637   -0.0079107    -0.090726      -7.6981      -8.2387           -1       4480.5       -845.5       -38541       4480.5       -845.5       -38541            0            0            0        29.75      -1.0661           30      -7.4014         8734       -25554       1659.5     0.042723     -0.24844     0.014381            0      -3074.7      0.29711      0.94083    -0.048935            0            0            0            0            0            0            0            0            0          294         0.58            1  
