LongerDesign-lesstriangles2-front
10m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0      -1.6329      0.35924     0.089806      0.26944    -0.048215      -8.0732     -0.59083      -7.4824     -0.71876     -0.23002    -0.047558     -0.18246      -4.5454      -5.8084           -1       1007.4      -180.26      -6105.1       1007.4      -180.26      -6105.1            0            0            0       9.7664      -1.5121           10      -12.407       1343.6      -4587.9       429.99     0.040177     -0.24936     0.021412            0      -4361.2      0.19736      0.94503    -0.065606            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.5813      0.33563     0.083217      0.25241    -0.045299      -7.7385     -0.54748       -7.191     -0.69839     -0.21516    -0.044263     -0.17089      -4.7114      -5.9245           -1       943.72      -169.36        -5912       943.72      -169.36        -5912            0            0            0       9.7821      -1.4825           10      -11.983       1305.6      -4397.7       402.21      0.04059     -0.24924     0.020716            0      -4275.7      0.18519      0.94596    -0.064185            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0       -1.529      0.31379     0.077965      0.23582    -0.042466      -7.4131     -0.51293      -6.9002     -0.67756     -0.20107     -0.04142     -0.15965      -4.8726       -6.025           -1       881.69      -158.77      -5716.4       881.69      -158.77      -5716.4            0            0            0       9.7958      -1.4578           10      -11.598       1266.6      -4212.8       375.88     0.040976     -0.24913         0.02            0      -4204.4      0.17326      0.94663    -0.062651            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0       -1.476      0.29278     0.073103      0.21968    -0.039717       -7.091     -0.48094        -6.61     -0.65626     -0.18758    -0.038841     -0.14874      -5.0412      -6.1246           -1       821.34      -148.49      -5518.4       821.34      -148.49      -5518.4            0            0            0       9.8089       -1.434           10       -11.22       1226.8      -4029.7       350.66     0.041333     -0.24902     0.019264            0        -4136      0.16161        0.947    -0.061007            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.4224       0.2709     0.066896      0.20401    -0.037056      -6.7609      -0.4401      -6.3208     -0.63452     -0.17409    -0.035923     -0.13817      -5.2506      -6.2621           -1       762.72      -138.54        -5318       762.72      -138.54        -5318            0            0            0       9.8234      -1.4026           10      -10.783       1186.2      -3842.1       325.45     0.041658     -0.24891     0.018506            0      -4045.2       0.1503      0.94704    -0.059254            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.3682      0.25025     0.061436      0.18881    -0.034484      -6.4367     -0.40418      -6.0325     -0.61232     -0.16096    -0.033009     -0.12795      -5.4673       -6.395           -1       705.91      -128.93      -5115.2       705.91      -128.93      -5115.2            0            0            0       9.8368      -1.3734           10      -10.365       1144.7      -3657.9       300.89      0.04195     -0.24881     0.017727            0      -3961.2       0.1393      0.94671    -0.057394            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.3133      0.23005     0.055942      0.17411    -0.032003      -6.1136     -0.36804      -5.7455     -0.58968     -0.14845    -0.030364     -0.11809      -5.7087      -6.5422           -1       650.96      -119.65      -4910.2       650.96      -119.65      -4910.2            0            0            0         9.85      -1.3425           10      -9.9357       1102.3      -3474.3       277.51     0.042205     -0.24871     0.016925            0        -3872      0.12863      0.94599    -0.055429            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.2579      0.20923     0.049299      0.15993    -0.029615      -5.7842     -0.32434      -5.4599     -0.56659     -0.13551    -0.026918     -0.10859      -6.0121       -6.743           -1       597.93      -110.72        -4703       597.93      -110.72        -4703            0            0            0       9.8645      -1.3025           10      -9.4435       1059.2      -3287.1       253.32     0.042422     -0.24862     0.016101            0      -3756.7      0.11832       0.9448    -0.053363            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.2019       0.1854     0.039131      0.14627    -0.027323      -5.4333     -0.25744      -5.1758     -0.54308      -0.1206    -0.021134    -0.099468      -6.4828      -7.1072           -1       546.87      -102.15      -4493.7       546.87      -102.15      -4493.7            0            0            0       9.8831      -1.2358           10      -8.7691       1015.2      -3087.7       225.45     0.042596     -0.24853     0.015253            0      -3564.2      0.10842      0.94311    -0.051197            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0      -1.1454      0.16396     0.030801      0.13316    -0.025127      -5.0961     -0.20264      -4.8934     -0.51913       -0.107    -0.016276    -0.090726      -6.9858      -7.4764           -1       497.84      -93.945      -4282.3       497.84      -93.945      -4282.3            0            0            0       9.8991      -1.1748           10      -8.1464       970.44        -2896       200.03     0.042723     -0.24844     0.014381            0      -3388.2     0.098859      0.94083    -0.048935            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -20            0            0      -1.0883      0.14644     0.025836       0.1206    -0.023031      -4.7829     -0.16998      -4.6129     -0.49475    -0.095799    -0.013427    -0.082372      -7.4321      -7.7534           -1       450.89      -86.105        -4069       450.89      -86.105        -4069            0            0            0       9.9107      -1.1328           10      -7.6632       924.88      -2718.1       179.08     0.042799     -0.24836     0.013481            0      -3267.2     0.089642      0.93787    -0.046579            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -19            0            0      -1.0308      0.13134     0.022727      0.10861    -0.021034       -4.484     -0.14952      -4.3345     -0.46996    -0.086106    -0.011693    -0.074413       -7.848      -7.9678           -1       406.08      -78.641      -3853.8       406.08      -78.641      -3853.8            0            0            0       9.9198      -1.1023           10      -7.2616       878.54      -2548.2       160.96     0.042816     -0.24829     0.012552            0      -3179.2     0.080807      0.93413    -0.044134            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -18            0            0     -0.97273      0.11766     0.020442     0.097213     -0.01914      -4.1927     -0.13449      -4.0582     -0.44476    -0.077294    -0.010438    -0.066856      -8.2676      -8.1541           -1       363.46      -71.559      -3636.8       363.46      -71.559      -3636.8            0            0            0       9.9276      -1.0771           10      -6.8966       831.43      -2382.7       144.49     0.042768     -0.24822     0.011592            0      -3106.6     0.072382      0.92946    -0.041602            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -17            0            0     -0.91423      0.10522     0.018814      0.08641    -0.017349       -3.908     -0.12378      -3.7843     -0.41916     -0.06927    -0.009563    -0.059707      -8.6885      -8.3075           -1       323.06      -64.864      -3418.1       323.06      -64.864      -3418.1            0            0            0       9.9344      -1.0572           10      -6.5656       783.56      -2220.9       129.49     0.042645     -0.24815     0.010596            0      -3049.2     0.064382      0.92368    -0.038987            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -16            0            0      -0.8553     0.093693     0.017477     0.076216    -0.015663      -3.6279     -0.11498      -3.5129     -0.39315    -0.061818   -0.0088453    -0.052973      -9.1288      -8.4425           -1       284.95      -58.562      -3197.8       284.95      -58.562      -3197.8            0            0            0       9.9405      -1.0403           10      -6.2515       734.95      -2061.7       115.56     0.042434     -0.24809    0.0095597            0      -3000.5     0.056822      0.91657    -0.036293            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -15            0            0     -0.79596     0.082884      0.01624     0.066644    -0.014084       -3.351     -0.10684      -3.2442     -0.36676     -0.05485   -0.0081908     -0.04666      -9.6033      -8.5678           -1       249.16      -52.657      -2975.9       249.16      -52.657      -2975.9            0            0            0       9.9462      -1.0251           10      -5.9448       685.62      -1904.3       102.54     0.042119     -0.24803    0.0084759            0      -2956.6     0.049714      0.90781    -0.033525            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -14            0            0     -0.73623     0.072648     0.014943     0.057704    -0.012613      -3.0766    -0.098312      -2.9783     -0.33999     -0.04828   -0.0075082    -0.040772      -10.134      -8.6956           -1       215.74      -47.155      -2752.6       215.74      -47.155      -2752.6            0            0            0       9.9517      -1.0101           10      -5.6354       635.57      -1748.4       90.254     0.041679     -0.24799    0.0073359            0      -2913.1     0.043069        0.897    -0.030685            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -13            0            0     -0.67614     0.063255     0.013846     0.049408     -0.01125      -2.8065    -0.091095      -2.7154     -0.31284     -0.04224   -0.0069242    -0.035316      -10.689      -8.7894           -1       184.73      -42.061      -2527.9       184.73      -42.061      -2527.9            0            0            0       9.9565     -0.99927           10      -5.3446       584.82      -1594.9       78.963     0.041086     -0.24795    0.0061269            0        -2882     0.036895      0.88358     -0.02778            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -12            0            0     -0.61571     0.054545     0.012779     0.041766   -0.0099975      -2.5397    -0.084074      -2.4557     -0.28533    -0.036651   -0.0063543    -0.030296      -11.288      -8.8575           -1       156.15      -37.378        -2302       156.15      -37.378        -2302            0            0            0        9.961      -0.9916           10      -5.0625       533.39      -1443.3       68.514     0.040298     -0.24791    0.0048312            0      -2859.9     0.031202      0.86677    -0.024812            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -11            0            0     -0.55497     0.046619     0.011832     0.034786    -0.008856      -2.2771    -0.077843      -2.1992     -0.25747    -0.031571   -0.0058535    -0.025718      -11.905      -8.8684           -1       130.06       -33.11      -2074.9       130.06       -33.11      -2074.9            0            0            0       9.9649     -0.99037           10      -4.8017        481.3        -1294       59.018     0.039257     -0.24789    0.0034228            0      -2856.4     0.025998      0.84548    -0.021787            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -10            0            0     -0.49395     0.039477     0.010998     0.028479   -0.0078266      -2.0185    -0.072354      -1.9462     -0.22925    -0.026999    -0.005415    -0.021584      -12.512      -8.7939           -1       106.47      -29.262      -1846.7       106.47      -29.262      -1846.7            0            0            0       9.9682     -0.99877           10      -4.5694       428.56      -1147.1       50.472     0.037876     -0.24788    0.0018623            0      -2880.6     0.021291      0.81811    -0.018709            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -9            0            0     -0.43266     0.033071      0.01022     0.022851     -0.00691       -1.764    -0.067237      -1.6968      -0.2007    -0.022899   -0.0049993      -0.0179      -13.083      -8.6055           -1       85.433      -25.835      -1617.6       85.433      -25.835      -1617.6            0            0            0       9.9709      -1.0206           10      -4.3709       375.19      -1002.5       42.807     0.036017     -0.24788    8.763e-05            0      -2943.6     0.017088      0.78229    -0.015583            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -8            0            0     -0.37114     0.027477    0.0095666      0.01791   -0.0061072       -1.514    -0.062938       -1.451     -0.17183    -0.019322   -0.0046532    -0.014669      -13.508       -8.229           -1       66.961      -22.833      -1387.6       66.961      -22.833      -1387.6            0            0            0       9.9727      -1.0673           10       -4.234       321.21      -860.38        36.12      0.03345      -0.2479   -0.0020053            0      -3078.3     0.013396      0.73444    -0.012415            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -7            0            0     -0.30942     0.022659    0.0089953     0.013663   -0.0054186      -1.2684    -0.059179      -1.2092     -0.14263    -0.016247   -0.0043527    -0.011894      -13.656       -7.596           -1       51.084      -20.259      -1156.8       51.084      -20.259      -1156.8            0            0            0       9.9733      -1.1563           10      -4.1883       266.63      -720.79       30.371     0.029761     -0.24796   -0.0046045            0      -3334.9      0.01022      0.66912   -0.0092086            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -6            0            0     -0.24752     0.018601    0.0084837     0.010117    -0.004845      -1.0271    -0.055814     -0.97131     -0.11313    -0.013664   -0.0040863    -0.009578      -13.307      -6.6203           -1       37.825      -18.114       -925.4       37.825      -18.114       -925.4            0            0            0       9.9719      -1.3267           10      -4.2977       211.49       -583.7       25.544     0.024118     -0.24805   -0.0080878            0      -3826.3    0.0075664      0.57827   -0.0059697            0            0            0            0            0            0            0            0            0          294         0.58            1  
         -5            0            0     -0.18546     0.015299    0.0080236    0.0072758   -0.0043869     -0.79034    -0.052787     -0.73756    -0.083335    -0.011572   -0.0038478    -0.007724      -12.122      -5.2205           -1       27.202      -16.401       -693.4       27.202      -16.401       -693.4            0            0            0       9.9661      -1.6824           10      -4.7158       155.78      -449.14       21.632     0.014577     -0.24824    -0.013341            0      -4852.3    0.0054384      0.45144   -0.0027035            0            0            0            0            0            0            0            0            0          294         0.58            1  
