LongerDesign-lesstriangles2-front
15m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0      -1.6329      0.38055      0.11111      0.26944    -0.048215      -8.2134     -0.73102      -7.4824     -0.71876     -0.24304    -0.060578     -0.18246      -4.2909      -5.4832           -1       2266.6      -405.59       -13736       2266.6      -405.59       -13736            0            0            0       14.609      -1.6018           15      -13.119       3023.2       -10502       1022.2     0.040177     -0.24936     0.021412            0      -4619.8      0.29521      0.94503    -0.065606            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.5813      0.37771       0.1253      0.25241    -0.045299      -8.0153     -0.82434       -7.191     -0.69839     -0.24097    -0.070074     -0.17089      -4.1864      -5.2644           -1       2123.4      -381.06       -13302       2123.4      -381.06       -13302            0            0            0        14.59      -1.6684           15      -13.434       2937.5       -10249       1013.5      0.04059     -0.24924     0.020716            0      -4811.8       0.2762      0.94596    -0.064185            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0       -1.529      0.34269      0.10686      0.23582    -0.042466      -7.6032     -0.70305      -6.9002     -0.67756     -0.21955    -0.059899     -0.15965      -4.4617       -5.517           -1       1983.8      -357.23       -12862       1983.8      -357.23       -12862            0            0            0       14.637       -1.592           15      -12.633       2849.9      -9721.9       923.45     0.040976     -0.24913         0.02            0      -4591.6      0.25888      0.94663    -0.062651            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0       -1.476      0.30686     0.087175      0.21968    -0.039717      -7.1835     -0.57352        -6.61     -0.65626     -0.19749    -0.048751     -0.14874        -4.81      -5.8438           -1         1848      -334.11       -12416         1848      -334.11       -12416            0            0            0       14.686       -1.503           15      -11.744       2760.3      -9185.3       830.67     0.041333     -0.24902     0.019264            0      -4334.8      0.24197        0.947    -0.061007            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.4224      0.27334     0.069338      0.20401    -0.037056      -6.7769     -0.45617      -6.3208     -0.63452     -0.17663    -0.038463     -0.13817      -5.2037      -6.2061           -1       1716.1      -311.72       -11965       1716.1      -311.72       -11965            0            0            0        14.73      -1.4152           15      -10.878       2668.8      -8665.3       742.94     0.041658     -0.24891     0.018506            0      -4081.7      0.22538      0.94704    -0.059254            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.3682      0.24323      0.05442      0.18881    -0.034484      -6.3906     -0.35803      -6.0325     -0.61232     -0.15793    -0.029977     -0.12795       -5.625      -6.5794           -1       1588.3      -290.09       -11509       1588.3      -290.09       -11509            0            0            0       14.768      -1.3349           15      -10.081       2575.5      -8171.3       664.26      0.04195     -0.24881     0.017727            0      -3850.1      0.20913      0.94671    -0.057394            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.3133      0.21595     0.041836      0.17411    -0.032003      -6.0208     -0.27524      -5.7455     -0.58968     -0.14087    -0.022781     -0.11809      -6.0816      -6.9696           -1       1464.7      -269.22       -11048       1464.7      -269.22       -11048            0            0            0       14.801      -1.2602           15      -9.3375       2480.2      -7698.5       592.51     0.042205     -0.24871     0.016925            0      -3634.6      0.19328      0.94599    -0.055429            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.2579      0.19189     0.031963      0.15993    -0.029615      -5.6702     -0.21029      -5.4599     -0.56659     -0.12565     -0.01706     -0.10859      -6.5553      -7.3522           -1       1345.3      -249.13       -10582       1345.3      -249.13       -10582            0            0            0       14.828      -1.1946           15      -8.6735       2383.2      -7250.2        528.5     0.042422     -0.24862     0.016101            0      -3445.4      0.17786       0.9448    -0.053363            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.2019      0.17156     0.025294      0.14627    -0.027323      -5.3422     -0.16641      -5.1758     -0.54308     -0.11267    -0.013199    -0.099468      -7.0056      -7.6804           -1       1230.5      -229.85       -10111       1230.5      -229.85       -10111            0            0            0       14.849      -1.1436           15      -8.1237       2284.2      -6830.8       473.89     0.042596     -0.24853     0.015253            0      -3298.2       0.1629      0.94311    -0.051197            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0      -1.1454      0.15473     0.021575      0.13316    -0.025127      -5.0354     -0.14194      -4.8934     -0.51913     -0.10184    -0.011117    -0.090726      -7.4024      -7.9222           -1       1120.1      -211.38      -9635.2       1120.1      -211.38      -9635.2            0            0            0       14.865      -1.1087           15      -7.6936       2183.5      -6438.5       428.36     0.042723     -0.24844     0.014381            0      -3197.5      0.14845      0.94083    -0.048935            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -20            0            0      -1.0883      0.14015     0.019548       0.1206    -0.023031      -4.7415     -0.12861      -4.6129     -0.49475    -0.092375    -0.010003    -0.082372      -7.7656      -8.1013           -1       1014.5      -193.74      -9155.2       1014.5      -193.74      -9155.2            0            0            0       14.877      -1.0842           15      -7.3378         2081      -6062.8       388.54     0.042799     -0.24836     0.013481            0      -3126.9      0.13456      0.93787    -0.046579            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -19            0            0      -1.0308      0.12671       0.0181      0.10861    -0.021034      -4.4535     -0.11908      -4.3345     -0.46996     -0.08362   -0.0092073    -0.074413      -8.1346      -8.2588           -1       913.68      -176.94        -8671       913.68      -176.94        -8671            0            0            0       14.888      -1.0635           15      -7.0083       1976.7      -5694.5       351.71     0.042816     -0.24829     0.012552            0      -3067.2      0.12128      0.93413    -0.044134            0            0            0            0            0            0            0            0            0          294         0.58            1  
