LongerDesign-lesstriangles2-front
5m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0      -1.6329      0.38012      0.11068      0.26944    -0.048215      -8.2106     -0.72817      -7.4824     -0.71876     -0.23813    -0.055672     -0.18246      -4.2958      -5.4894           -1       251.84      -45.066      -1526.3       251.84      -45.066      -1526.3            0            0            0       4.8698         -1.6            5      -13.104       335.91      -1166.5       111.29     0.040177     -0.24936     0.021412            0      -4614.6     0.098408      0.94503    -0.065606            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.5813      0.35539      0.10297      0.25241    -0.045299      -7.8685     -0.67746       -7.191     -0.69839     -0.22313    -0.052238     -0.17089      -4.4494      -5.5951           -1       235.93       -42.34        -1478       235.93       -42.34        -1478            0            0            0       4.8783      -1.5698            5      -12.667       326.39      -1117.9       104.28      0.04059     -0.24924     0.020716            0      -4527.4     0.092352      0.94596    -0.064185            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0       -1.529      0.33162     0.095791      0.23582    -0.042466      -7.5304      -0.6302      -6.9002     -0.67756     -0.20855      -0.0489     -0.15965      -4.6107      -5.7012           -1       220.42      -39.692      -1429.1       220.42      -39.692      -1429.1            0            0            0       4.8864      -1.5406            5      -12.237       316.65      -1069.9       97.465     0.040976     -0.24913         0.02            0      -4443.2     0.086425      0.94663    -0.062651            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0       -1.476      0.30813      0.08845      0.21968    -0.039717      -7.1919     -0.58191        -6.61     -0.65626     -0.19425    -0.045507     -0.14874      -4.7901      -5.8196           -1       205.33      -37.123      -1379.6       205.33      -37.123      -1379.6            0            0            0       4.8945      -1.5092            5      -11.792        306.7      -1021.8        90.78     0.041333     -0.24902     0.019264            0      -4352.8     0.080642        0.947    -0.061007            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.4224      0.28478     0.080779      0.20401    -0.037056      -6.8522     -0.53144      -6.3208     -0.63452     -0.18013    -0.041963     -0.13817      -4.9946      -5.9568           -1       190.68      -34.636      -1329.5       190.68      -34.636      -1329.5            0            0            0       4.9027      -1.4745            5      -11.322       296.54      -973.51       84.184     0.041658     -0.24891     0.018506            0      -4252.6     0.075013      0.94704    -0.059254            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.3682      0.26218     0.073371      0.18881    -0.034484      -6.5152     -0.48271      -6.0325     -0.61232     -0.16628    -0.038327     -0.12795      -5.2184      -6.1038           -1       176.48      -32.232      -1278.8       176.48      -32.232      -1278.8            0            0            0       4.9106      -1.4389            5      -10.848       286.16      -925.64       77.709      0.04195     -0.24881     0.017727            0      -4150.1     0.069538      0.94671    -0.057394            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.3133      0.24051     0.066401      0.17411    -0.032003      -6.1824     -0.43685      -5.7455     -0.58968     -0.15301    -0.034924     -0.11809      -5.4605      -6.2577           -1       162.74      -29.913      -1227.5       162.74      -29.913      -1227.5            0            0            0       4.9182      -1.4035            5      -10.378       275.58      -878.35        71.51     0.042205     -0.24871     0.016925            0        -4048     0.064224      0.94599    -0.055429            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.2579      0.22053     0.060602      0.15993    -0.029615      -5.8586      -0.3987      -5.4599     -0.56659     -0.14059    -0.031996     -0.10859       -5.704      -6.3974           -1       149.48      -27.681      -1175.7       149.48      -27.681      -1175.7            0            0            0       4.9249      -1.3729            5      -9.9438       264.79      -832.35       65.703     0.042422     -0.24862     0.016101            0      -3959.7     0.059072       0.9448    -0.053363            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.2019        0.202     0.055735      0.14627    -0.027323      -5.5425     -0.36667      -5.1758     -0.54308     -0.12903    -0.029559    -0.099468      -5.9499       -6.523           -1       136.72      -25.538      -1123.4       136.72      -25.538      -1123.4            0            0            0       4.9308      -1.3465            5      -9.5405        253.8      -787.44         60.3     0.042596     -0.24853     0.015253            0      -3883.4     0.054093      0.94311    -0.051197            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0      -1.1454        0.184      0.05084      0.13316    -0.025127      -5.2279     -0.33447      -4.8934     -0.51913     -0.11762    -0.026894    -0.090726       -6.225      -6.6622           -1       124.46      -23.486      -1070.6       124.46      -23.486      -1070.6            0            0            0       4.9367      -1.3183            5      -9.1261       242.61      -742.74       54.969     0.042723     -0.24844     0.014381            0      -3802.3     0.049302      0.94083    -0.048935            0            0            0            0            0            0            0            0            0          294         0.58            1  
